Name,Age,Gender,Educational Background,Physical Traits,Personality Traits,Creative Expression,Problem Solving,LeaderShip and Managment,Communication ,Helping Others,Hard Skills,Soft Skills,Preffred Work mode,Comfortable with Technology (1-5),Stress Tolerance (1-5),Open to Relocation (Yes/No),Preferred Work Environment,Certifications (Yes/No),Predicted Career,Predicted Degree,Predicted University,
Bob,18,Male,Matric,Moderately Active,"Assertive, Practical, Adventurous",Design,Physics,Marketing and Branding  ,Social Media Management  ,Education,Project Management,Communication,Hybrid,1,3,Yes,Outdoor,No,Software Engineer,BSc Computer Science,Aga Khan University,
George,17,Female,FSc,Sedentary,"Assertive, Curious, Creative",Music,Programming,Business  ,Broadcasting  ,Non-profit Work,Graphic Design,Adaptability,Hybrid,3,5,No,Outdoor,Yes,Psychologist,BSc Psychology,NUST,
Diana,21,Other,Undergraduate,Moderately Active,"Adventurous, Organized, Detail-Oriented",Writing,Data Analysis,Team Leadership  ,Digital Content Creation  ,Healthcare,Programming,Teamwork,On-site,3,3,No,Outdoor,Yes,Photographer,Diploma Photography,NUST,
Hannah,19,Male,Matric,Active,"Assertive, Adventurous, Organized",Writing,Physics,Organizational Strategy  ,Journalism  ,Education,Data Analysis,Communication,Hybrid,4,5,Yes,Outdoor,No,Psychologist,BSc Psychology,UET Lahore,
George,22,Other,Matric,Moderately Active,"Detail-Oriented, Empathetic, Curious",Writing,Engineering,Finance  ,Public Relations  ,Non-profit Work,Writing,Problem-Solving,Remote,3,4,No,Indoor,No,Software Engineer,BSc Computer Science,FAST-NUCES,
Ethan,18,Male,FSc,Sedentary,"Detail-Oriented, Patient, Practical",Music,Programming,Marketing and Branding  ,Social Media Management  ,Healthcare,Writing,Teamwork,Hybrid,1,1,No,No preference,Yes,Data Scientist,BSc Data Science,University of the Punjab,
Ivan,21,Female,Undergraduate,Moderately Active,"Assertive, Empathetic, Curious",Writing,Data Analysis,Business  ,Broadcasting  ,Non-profit Work,Project Management,Teamwork,On-site,1,5,Yes,Outdoor,Yes,Mechanical Engineer,BEng Mechanical,GIKI,
Diana,17,Male,Undergraduate,Moderately Active,"Adventurous, Detail-Oriented, Creative",Design,Physics,Team Leadership  ,Digital Content Creation  ,Non-profit Work,Programming,Leadership,Remote,2,4,No,Indoor,Yes,Photographer,Diploma Photography,NUST,
Charlie,20,Female,Diploma,Moderately Active,"Adventurous, Empathetic, Practical",Design,Physics,Organizational Strategy  ,Journalism  ,Counseling,Data Analysis,Communication,Hybrid,3,4,Yes,Indoor,Yes,Mechanical Engineer,BEng Mechanical,University of the Punjab,
George,17,Other,FSc,Moderately Active,"Analytical, Assertive, Curious",Writing,Data Analysis,Finance  ,Public Relations  ,Education,Data Analysis,Problem-Solving,Remote,4,5,Yes,Indoor,No,Psychologist,BSc Psychology,GIKI,
Hannah,22,Male,FSc,Sedentary,"Organized, Empathetic, Practical",Design,Programming,Marketing and Branding  ,Social Media Management  ,Non-profit Work,Graphic Design,Leadership,On-site,5,5,No,Indoor,Yes,Software Engineer,BSc Computer Science,University of the Punjab,
Hannah,20,Male,Undergraduate,Moderately Active,"Adventurous, Practical, Detail-Oriented",Writing,Physics,Business  ,Broadcasting  ,Healthcare,Writing,Problem-Solving,On-site,3,4,Yes,No preference,Yes,Nurse,BSc Nursing,IBA Karachi,
Hannah,16,Other,Diploma,Moderately Active,"Creative, Curious, Detail-Oriented",Writing,Data Analysis,Team Leadership  ,Digital Content Creation  ,Healthcare,Graphic Design,Problem-Solving,Remote,4,4,No,Outdoor,Yes,Graphic Designer,BA Graphic Design,QAU Islamabad,
Bob,18,Female,Undergraduate,Sedentary,"Curious, Assertive, Adventurous",Design,Physics,Organizational Strategy  ,Journalism  ,Social Work,Writing,Problem-Solving,Hybrid,2,5,Yes,Outdoor,Yes,Graphic Designer,BA Graphic Design,University of the Punjab,
Charlie,19,Female,Diploma,Moderately Active,"Assertive, Detail-Oriented, Patient",Design,Data Analysis,Finance  ,Public Relations  ,Social Work,Data Analysis,Teamwork,Remote,3,4,No,No preference,Yes,Mechanical Engineer,BEng Mechanical,Aga Khan University,
Charlie,16,Male,Matric,Moderately Active,"Patient, Analytical, Empathetic",Photography,Engineering,Marketing and Branding  ,Social Media Management  ,Healthcare,Programming,Communication,On-site,2,2,No,Indoor,No,Journalist,BA Journalism,IBA Karachi,
Ivan,17,Male,Matric,Active,"Patient, Organized, Detail-Oriented",Music,Data Analysis,Business  ,Broadcasting  ,Non-profit Work,Project Management,Communication,Remote,2,4,No,Outdoor,Yes,Software Engineer,BSc Computer Science,FAST-NUCES,
Fiona,22,Other,Diploma,Sedentary,"Assertive, Empathetic, Practical",Music,Physics,Team Leadership  ,Digital Content Creation  ,Counseling,Project Management,Leadership,On-site,3,1,Yes,Indoor,Yes,Social Worker,BA Social Work,IBA Karachi,
Charlie,16,Female,Matric,Moderately Active,"Empathetic, Assertive, Detail-Oriented",Design,Mathematics,Organizational Strategy  ,Journalism  ,Social Work,Graphic Design,Leadership,Hybrid,2,5,Yes,Outdoor,No,Journalist,BA Journalism,GIKI,
Julia,22,Male,Undergraduate,Moderately Active,"Patient, Adventurous, Curious",Design,Data Analysis,Finance  ,Public Relations  ,Social Work,Project Management,Leadership,Hybrid,2,1,Yes,Outdoor,No,Graphic Designer,BA Graphic Design,IBA Karachi,
Hannah,22,Female,Matric,Moderately Active,"Practical, Creative, Adventurous",Photography,Engineering,Marketing and Branding  ,Social Media Management  ,Education,Project Management,Adaptability,Hybrid,2,5,No,Indoor,No,Teacher,BEd,Aga Khan University,
Ivan,16,Male,FSc,Moderately Active,"Practical, Patient, Creative",Design,Physics,Business  ,Broadcasting  ,Education,Data Analysis,Teamwork,Remote,5,2,Yes,No preference,No,Teacher,BEd,University of the Punjab,
Hannah,16,Male,Matric,Sedentary,"Organized, Assertive, Detail-Oriented",Photography,Programming,Team Leadership  ,Digital Content Creation  ,Non-profit Work,Programming,Problem-Solving,Hybrid,1,5,Yes,Indoor,Yes,Journalist,BA Journalism,LUMS,
Ethan,22,Male,Diploma,Moderately Active,"Detail-Oriented, Analytical, Curious",Music,Engineering,Organizational Strategy  ,Journalism  ,Non-profit Work,Project Management,Teamwork,Remote,2,5,Yes,No preference,No,Photographer,Diploma Photography,FAST-NUCES,
Ethan,20,Male,FSc,Active,"Analytical, Empathetic, Adventurous",Music,Engineering,Finance  ,Public Relations  ,Counseling,Programming,Communication,Remote,4,5,Yes,Outdoor,No,Teacher,BEd,GIKI,
Ethan,19,Other,Diploma,Sedentary,"Detail-Oriented, Practical, Curious",Design,Engineering,Marketing and Branding  ,Social Media Management  ,Education,Project Management,Leadership,Remote,1,1,Yes,Outdoor,No,Social Worker,BA Social Work,University of the Punjab,
Fiona,18,Female,FSc,Active,"Practical, Creative, Analytical",Music,Mathematics,Business  ,Broadcasting  ,Healthcare,Project Management,Problem-Solving,Remote,4,5,Yes,Indoor,No,Software Engineer,BSc Computer Science,Aga Khan University,
Diana,19,Male,Undergraduate,Active,"Practical, Analytical, Creative",Photography,Engineering,Team Leadership  ,Digital Content Creation  ,Counseling,Programming,Adaptability,Remote,1,4,Yes,Indoor,Yes,Teacher,BEd,LUMS,
Fiona,22,Female,FSc,Active,"Practical, Detail-Oriented, Assertive",Design,Physics,Organizational Strategy  ,Journalism  ,Social Work,Data Analysis,Problem-Solving,Hybrid,5,2,No,Outdoor,No,Journalist,BA Journalism,FAST-NUCES,
Fiona,22,Female,FSc,Sedentary,"Creative, Detail-Oriented, Assertive",Photography,Mathematics,Finance  ,Public Relations  ,Counseling,Graphic Design,Adaptability,Remote,1,3,Yes,No preference,No,Mechanical Engineer,BEng Mechanical,FAST-NUCES,
Ethan,17,Female,Undergraduate,Active,"Curious, Practical, Analytical",Writing,Physics,Marketing and Branding  ,Social Media Management  ,Counseling,Programming,Adaptability,Hybrid,1,5,No,No preference,Yes,Mechanical Engineer,BEng Mechanical,QAU Islamabad,
Fiona,22,Other,Undergraduate,Active,"Detail-Oriented, Curious, Practical",Photography,Data Analysis,Business  ,Broadcasting  ,Education,Graphic Design,Adaptability,On-site,3,1,No,No preference,Yes,Data Scientist,BSc Data Science,GIKI,
Charlie,20,Female,Undergraduate,Sedentary,"Assertive, Empathetic, Detail-Oriented",Photography,Data Analysis,Team Leadership  ,Digital Content Creation  ,Social Work,Graphic Design,Teamwork,Hybrid,5,1,Yes,No preference,No,Graphic Designer,BA Graphic Design,UET Lahore,
Hannah,20,Other,Diploma,Sedentary,"Detail-Oriented, Curious, Assertive",Design,Engineering,Organizational Strategy  ,Journalism  ,Education,Graphic Design,Teamwork,On-site,3,3,No,Indoor,Yes,Psychologist,BSc Psychology,COMSATS,
Ethan,22,Other,FSc,Sedentary,"Detail-Oriented, Practical, Analytical",Music,Physics,Finance  ,Public Relations  ,Education,Project Management,Leadership,Remote,4,1,No,No preference,No,Mechanical Engineer,BEng Mechanical,University of the Punjab,
Bob,16,Female,FSc,Sedentary,"Curious, Creative, Empathetic",Photography,Programming,Marketing and Branding  ,Social Media Management  ,Social Work,Graphic Design,Adaptability,Remote,1,4,Yes,Outdoor,Yes,Photographer,Diploma Photography,UET Lahore,
Fiona,21,Female,Matric,Sedentary,"Detail-Oriented, Patient, Adventurous",Photography,Programming,Business  ,Broadcasting  ,Education,Project Management,Adaptability,Hybrid,3,5,Yes,Outdoor,Yes,Software Engineer,BSc Computer Science,FAST-NUCES,
Charlie,22,Female,Undergraduate,Moderately Active,"Assertive, Detail-Oriented, Adventurous",Writing,Data Analysis,Team Leadership  ,Digital Content Creation  ,Education,Writing,Adaptability,Remote,1,3,Yes,Indoor,Yes,Journalist,BA Journalism,QAU Islamabad,
Ivan,21,Male,Matric,Sedentary,"Organized, Empathetic, Patient",Photography,Data Analysis,Organizational Strategy  ,Journalism  ,Education,Writing,Teamwork,On-site,2,5,Yes,Indoor,Yes,Journalist,BA Journalism,NUST,
George,17,Other,Diploma,Moderately Active,"Creative, Practical, Adventurous",Photography,Programming,Finance  ,Public Relations  ,Non-profit Work,Data Analysis,Teamwork,Remote,1,3,Yes,Indoor,No,Photographer,Diploma Photography,UET Lahore,
Fiona,16,Other,Diploma,Active,"Curious, Organized, Assertive",Music,Physics,Marketing and Branding  ,Social Media Management  ,Counseling,Project Management,Leadership,Remote,4,1,No,Outdoor,Yes,Psychologist,BSc Psychology,UET Lahore,
Alice,19,Female,Undergraduate,Active,"Adventurous, Patient, Assertive",Design,Data Analysis,Business  ,Broadcasting  ,Healthcare,Programming,Teamwork,Remote,4,5,No,Outdoor,No,Psychologist,BSc Psychology,UET Lahore,
Fiona,22,Other,Undergraduate,Moderately Active,"Adventurous, Practical, Detail-Oriented",Photography,Physics,Team Leadership  ,Digital Content Creation  ,Healthcare,Data Analysis,Communication,On-site,1,1,Yes,Outdoor,Yes,Teacher,BEd,QAU Islamabad,
Alice,20,Male,Matric,Active,"Assertive, Detail-Oriented, Adventurous",Design,Data Analysis,Organizational Strategy  ,Journalism  ,Non-profit Work,Writing,Adaptability,Hybrid,3,2,Yes,No preference,Yes,Social Worker,BA Social Work,NUST,
George,22,Other,Diploma,Sedentary,"Practical, Curious, Detail-Oriented",Photography,Engineering,Finance  ,Public Relations  ,Healthcare,Graphic Design,Communication,Hybrid,3,5,Yes,No preference,No,Psychologist,BSc Psychology,IBA Karachi,
Hannah,19,Other,Matric,Moderately Active,"Analytical, Curious, Adventurous",Writing,Physics,Marketing and Branding  ,Social Media Management  ,Social Work,Programming,Communication,On-site,2,3,Yes,Indoor,No,Nurse,BSc Nursing,University of the Punjab,
Diana,17,Male,Matric,Active,"Assertive, Curious, Adventurous",Photography,Programming,Business  ,Broadcasting  ,Counseling,Writing,Communication,Hybrid,1,2,Yes,Outdoor,Yes,Data Scientist,BSc Data Science,FAST-NUCES,
George,16,Female,Diploma,Active,"Creative, Assertive, Detail-Oriented",Writing,Data Analysis,Team Leadership  ,Digital Content Creation  ,Counseling,Project Management,Teamwork,On-site,3,3,No,No preference,No,Social Worker,BA Social Work,University of the Punjab,
Ivan,22,Female,Undergraduate,Sedentary,"Curious, Analytical, Assertive",Photography,Mathematics,Organizational Strategy  ,Journalism  ,Healthcare,Graphic Design,Communication,Remote,4,4,Yes,Indoor,No,Data Scientist,BSc Data Science,IBA Karachi,
George,18,Female,Diploma,Moderately Active,"Patient, Detail-Oriented, Curious",Photography,Engineering,Finance  ,Public Relations  ,Education,Data Analysis,Teamwork,Hybrid,3,2,Yes,Indoor,No,Psychologist,BSc Psychology,GIKI,
Alice,20,Other,FSc,Sedentary,"Assertive, Organized, Curious",Music,Data Analysis,Marketing and Branding  ,Social Media Management  ,Non-profit Work,Data Analysis,Problem-Solving,Hybrid,1,5,Yes,No preference,No,Psychologist,BSc Psychology,Aga Khan University,
Alice,17,Male,Matric,Moderately Active,"Adventurous, Analytical, Creative",Photography,Programming,Business  ,Broadcasting  ,Healthcare,Programming,Communication,On-site,5,4,Yes,Indoor,No,Graphic Designer,BA Graphic Design,NUST,
Julia,22,Male,Undergraduate,Active,"Analytical, Curious, Practical",Photography,Engineering,Team Leadership  ,Digital Content Creation  ,Healthcare,Data Analysis,Teamwork,Hybrid,4,2,No,No preference,Yes,Mechanical Engineer,BEng Mechanical,QAU Islamabad,
George,17,Female,Diploma,Sedentary,"Creative, Curious, Adventurous",Photography,Engineering,Organizational Strategy  ,Journalism  ,Counseling,Data Analysis,Adaptability,Remote,4,3,Yes,Indoor,No,Psychologist,BSc Psychology,GIKI,
Ivan,17,Female,Matric,Moderately Active,"Organized, Patient, Creative",Writing,Mathematics,Finance  ,Public Relations  ,Non-profit Work,Programming,Problem-Solving,On-site,3,2,Yes,Outdoor,No,Psychologist,BSc Psychology,COMSATS,
Charlie,20,Other,Undergraduate,Moderately Active,"Patient, Empathetic, Detail-Oriented",Photography,Mathematics,Marketing and Branding  ,Social Media Management  ,Healthcare,Writing,Adaptability,On-site,4,1,No,Outdoor,Yes,Social Worker,BA Social Work,LUMS,
Alice,21,Male,Undergraduate,Active,"Patient, Analytical, Curious",Music,Mathematics,Business  ,Broadcasting  ,Counseling,Graphic Design,Problem-Solving,Remote,5,5,No,No preference,Yes,Psychologist,BSc Psychology,GIKI,
Fiona,22,Other,Undergraduate,Moderately Active,"Assertive, Empathetic, Creative",Design,Mathematics,Team Leadership  ,Digital Content Creation  ,Social Work,Writing,Problem-Solving,Remote,3,5,Yes,Indoor,No,Graphic Designer,BA Graphic Design,COMSATS,
Bob,16,Male,FSc,Sedentary,"Practical, Organized, Assertive",Photography,Mathematics,Organizational Strategy  ,Journalism  ,Education,Writing,Adaptability,Hybrid,5,3,Yes,No preference,Yes,Teacher,BEd,QAU Islamabad,
Ethan,22,Other,FSc,Active,"Assertive, Practical, Detail-Oriented",Music,Data Analysis,Finance  ,Public Relations  ,Social Work,Writing,Problem-Solving,Remote,4,1,No,Indoor,Yes,Graphic Designer,BA Graphic Design,University of the Punjab,
Julia,19,Male,Matric,Sedentary,"Practical, Detail-Oriented, Patient",Music,Data Analysis,Marketing and Branding  ,Social Media Management  ,Education,Graphic Design,Problem-Solving,Hybrid,4,5,Yes,Indoor,No,Mechanical Engineer,BEng Mechanical,GIKI,
George,21,Other,Matric,Moderately Active,"Empathetic, Patient, Adventurous",Music,Data Analysis,Business  ,Broadcasting  ,Counseling,Programming,Leadership,Remote,2,1,Yes,Outdoor,No,Social Worker,BA Social Work,University of the Punjab,
Diana,21,Female,Diploma,Moderately Active,"Detail-Oriented, Patient, Practical",Design,Engineering,Team Leadership  ,Digital Content Creation  ,Non-profit Work,Graphic Design,Leadership,On-site,5,2,No,Outdoor,Yes,Journalist,BA Journalism,Aga Khan University,
Charlie,21,Female,Undergraduate,Moderately Active,"Organized, Patient, Curious",Design,Physics,Organizational Strategy  ,Journalism  ,Social Work,Project Management,Teamwork,On-site,1,4,Yes,Indoor,No,Nurse,BSc Nursing,COMSATS,
Bob,16,Other,Undergraduate,Sedentary,"Assertive, Curious, Organized",Design,Physics,Finance  ,Public Relations  ,Counseling,Writing,Teamwork,Hybrid,1,5,Yes,No preference,No,Social Worker,BA Social Work,LUMS,
George,19,Female,FSc,Active,"Analytical, Practical, Adventurous",Music,Engineering,Marketing and Branding  ,Social Media Management  ,Social Work,Graphic Design,Communication,On-site,2,4,Yes,Indoor,Yes,Software Engineer,BSc Computer Science,LUMS,
Diana,16,Male,Matric,Moderately Active,"Empathetic, Practical, Creative",Design,Mathematics,Business  ,Broadcasting  ,Healthcare,Data Analysis,Problem-Solving,Remote,1,5,Yes,Outdoor,No,Mechanical Engineer,BEng Mechanical,QAU Islamabad,
Julia,21,Female,Diploma,Active,"Patient, Creative, Practical",Music,Programming,Team Leadership  ,Digital Content Creation  ,Education,Data Analysis,Leadership,Hybrid,2,3,No,Outdoor,No,Graphic Designer,BA Graphic Design,GIKI,
Julia,19,Other,Undergraduate,Active,"Detail-Oriented, Curious, Creative",Photography,Engineering,Organizational Strategy  ,Journalism  ,Social Work,Programming,Teamwork,Hybrid,5,4,No,Outdoor,Yes,Nurse,BSc Nursing,University of the Punjab,
Alice,20,Female,Matric,Moderately Active,"Analytical, Creative, Empathetic",Photography,Physics,Finance  ,Public Relations  ,Counseling,Project Management,Teamwork,Hybrid,5,4,Yes,Outdoor,No,Psychologist,BSc Psychology,FAST-NUCES,
Hannah,18,Female,Undergraduate,Active,"Organized, Empathetic, Adventurous",Writing,Physics,Marketing and Branding  ,Social Media Management  ,Healthcare,Writing,Leadership,Remote,4,3,Yes,Outdoor,Yes,Psychologist,BSc Psychology,FAST-NUCES,
George,22,Female,Undergraduate,Active,"Detail-Oriented, Curious, Analytical",Music,Physics,Business  ,Broadcasting  ,Non-profit Work,Writing,Teamwork,On-site,5,1,Yes,Outdoor,Yes,Journalist,BA Journalism,University of the Punjab,
Ivan,18,Female,Undergraduate,Active,"Practical, Adventurous, Organized",Design,Physics,Team Leadership  ,Digital Content Creation  ,Non-profit Work,Data Analysis,Problem-Solving,On-site,1,1,Yes,No preference,No,Teacher,BEd,GIKI,
Ethan,19,Other,Matric,Sedentary,"Creative, Assertive, Curious",Writing,Engineering,Organizational Strategy  ,Journalism  ,Healthcare,Data Analysis,Leadership,Remote,1,2,No,Outdoor,Yes,Photographer,Diploma Photography,LUMS,
Hannah,17,Male,Undergraduate,Moderately Active,"Creative, Practical, Organized",Music,Physics,Finance  ,Public Relations  ,Non-profit Work,Writing,Problem-Solving,On-site,1,1,No,No preference,Yes,Nurse,BSc Nursing,UET Lahore,
Bob,18,Other,Matric,Active,"Organized, Empathetic, Patient",Photography,Programming,Marketing and Branding  ,Social Media Management  ,Healthcare,Writing,Adaptability,Hybrid,1,4,Yes,Indoor,Yes,Photographer,Diploma Photography,NUST,
Hannah,18,Other,FSc,Moderately Active,"Curious, Detail-Oriented, Adventurous",Design,Engineering,Business  ,Broadcasting  ,Counseling,Graphic Design,Communication,On-site,3,4,Yes,No preference,No,Social Worker,BA Social Work,UET Lahore,
